OBJECTID,longitude,,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP
40,40.609009,-74.03231078,Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop, ,Brooklyn,11252
41,40.83345248,-73.94682282,Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street, ,New York,10032
42,40.8783582,-73.89098784,Holocaust Museum & Studies Center,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St, ,Bronx,10468
43,40.67557227,-74.01808694,Hudson Waterfront Museum and Showboat Barge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St., ,Brooklyn,11231
44,40.75602149,-73.98383672,International Center of Photography,(212) 857-0000,http://www.icp.org/,1133 Avenue Of The Americas, ,New York,10036
45,40.76478361,-74.0008918,Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street, ,New York,10036
46,40.76695695,-73.93765514,Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard, ,Long Island City,11106
47,40.71919496,-73.99749411,Italian American Museum,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St., ,New York,10013
48,40.723351,-74.00664185,Jackie Robinson Museum,(212) 290-8600,http://www.jackierobinson.org/,1 Hudson Square,75 Varick Street 2nd Floor,New York,10013
49,40.57631317,-74.13812336,Jacques Marchais Center Museum of Tibetan Art,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue, ,Staten Island,10306
50,40.85022037,-73.94694495,Jeffrey's Hook lighthouse (Little Red Lighthouse),(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River, ,New York,10033
51,40.78540259,-73.95718706,Jewish Museum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave, ,New York,10128
52,40.75233053,-74.00965484,John J. Harvey Fireboat, ,http://www.fireboat.org/,Pier 66 at West 26th Street, ,New York,10001
53,40.70304235,-73.80376062,King Manor Museum,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue, ,Queens,11432
54,40.76359604,-73.82415642,Kingsland Homestead,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue, ,Queens,11354
55,40.74396041,-73.93514568,LaGuardia and Wagner Archives,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,31-10 Thomson Ave.,Fiorello H. LaGuardia Community College/CUNY Room E-238,Queens,11101
56,40.74719743,-73.98618833,Lee Young Hee Museum of Korean Culture,(212) 560-0722,http://www.lyhkm.org/,2 West 32nd Street, Suite 301,New York,10001
57,40.66438029,-73.96381416,Lefferts Historic House,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,Prospect Park Willink Entrance,Flatbush and Ocean Avenues and Empire Boulevard,Brooklyn,11215
58,40.7563185,-73.98870226,Madame Tussauds Wax Museum,(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street, ,New York,10036
59,40.72765775,-73.99234605,Merchant's House Museum,(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street, ,New York,10003
60,40.77942388,-73.96345111,Metropolitan Museum of Art (MET),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue, ,New York,10028
61,40.7507847,-73.97988118,Mexican Cultural Institute of New York,(212) 217-6422,http://www.lavitrina.com/,27 E. 39th St., ,New York,10016
62,40.74929541,-73.98132148,Morgan Library and Museum,(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue, ,New York,10016
63,40.83444801,-73.93857439,Morris-Jumel Mansion,(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace, ,New York,10032
64,40.76052612,-73.95971083,Mount Vernon Hotel Museum & Garden,(212) 838-6878,http://www.mvhm.org/,421 East 61 Street, ,New York,10021
65,40.75824864,-73.97499987,Municipal Art Society,(212) 935-3960,http://mas.org/,457 Madison Avenue, ,New York,10022
66,40.74634207,-73.92822391,Museum for African Art,(718) 784-7700,http://www.africanart.org/,36-01 43rd Avenue, 3rd Floor,Queens,11101
67,40.70648492,-74.0091216,Museum of American Finance,(212) 908-4110,http://www.moaf.org/index,48 Wall Street, ,New York,10005
68,40.76471596,-73.96690031,Museum of American Illustration,(212) 838-2560,http://societyillustrators.org/museum/index.cms,128 E. 63d St., ,New York,10021
69,40.76740641,-73.98200725,Museum of Arts & Design (MAD),(212) 299-7777,http://www.madmuseum.org/,2 Columbus Circle, ,New York,10019
70,40.77025274,-73.98272584,Museum of Biblical Art,(212) 408-1200,http://www.mobia.org/,1865 Broadway, ,New York,10023
71,40.71945428,-73.99919192,Museum Of Chinese In America,(212) 619-4785,http://www.mocanyc.org/,215 Centre Street, ,New York,10013
72,40.72479828,-73.99670248,Museum of Comic and Cartoon Art (MoCCA),(212) 254 3511,http://www.moccany.org/,594 Broadway, Suite 401,New York,10012
73,40.68524548,-73.97442478,Museum of Contemporary African Diasporan Arts (MoCADA),(718) 230-0492,http://www.mocada.org/,80 Hanson Place, ,Brooklyn,11217
74,40.70598698,-74.01858572,Museum of Jewish Heritage,(646) 437-4200,http://www.mjhnyc.org/index.htm,36 Battery Place, ,New York,10280
75,40.76118697,-73.97700363,Museum of Modern Art (MoMA),(212) 708-9400,http://www.moma.org/,11 West 53rd Street, ,New York,10019
76,40.79250937,-73.95191697,Museum of the City of New York,(212) 534-1672,http://www.mcny.org,1220 Fifth Avenue, ,New York,10029
77,40.75694482,-73.92451017,Museum of the Moving Image,(718) 784-4520,http://www.movingimage.us/site/site.php,35 Avenue at 36 Street, ,Queens,11106
78,40.7836135,-73.95849177,National Academy Museum,(212) 369-4880,https://nationalacademy.org/index.asp,1083 5th Avenue, ,New York,10128
79,40.64094935,-74.07373713,National Lighthouse Museum,(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,1 Lighthouse Plaza, ,Staten Island,10301
80,40.70432159,-74.01372705,National Museum of the American Indian,(212) 514-3700,http://www.nmai.si.edu/,1 Bowling Green, ,New York,10004
81,40.70965482,-74.01091566,National September 11 Memorial & Museum at the World Trade Center,(212) 227-7722,http://www.national911memorial.org/site/PageServer?pagename=New_Home,1 Liberty Plaza, 20th Floor,New York,10006
82,40.78124267,-73.96024812,Neue Galerie New York,(212) 628-6200,http://www.neuegalerie.org/,1048 Fifth Avenue, ,New York,10028
83,40.72234704,-73.99283879,New Museum of Contemporary Art,(212) 219-1222,http://www.newmuseum.org/,235 Bowery, ,New York,10002
84,40.72557214,-74.00693426,New York City Fire Museum,(212) 691-1303,http://www.nycfiremuseum.org/,278 Spring Street, ,New York,10012
85,40.70347862,-74.00811754,New York City Police Museum,(212) 480-3100,http://www.nycpolicemuseum.org/,100 Old Slip, ,New York,10038
86,40.74714812,-73.8516868,New York Hall of Science,(718) 699-0005,http://www.nysci.org/,47-01 111th Street, ,Queens,11368
87,40.77927358,-73.97425754,New York Historical Society,(212) 873-3400,https://www.nyhistory.org/web/,2 West 77th Street, ,New York,10024
88,40.75242325,-73.97912411,New York Tolerance Center,(212) 697-1180,http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506,50 E 42nd St, ,New York,10017
89,40.69052403,-73.99002597,New York Transit Museum,(718) 694-4915,http://www.mta.info/mta/museum/,Boerum Pl. & Schermenhorn Street, ,Brooklyn,0
90,40.80291433,-73.9690225,Nicholas Roerich Museum,(212) 864-7752,http://www.roerich.org/,319 West 107 Street, ,New York,10025
91,40.64431228,-74.10177204,Noble Maritime Collection,(718) 447-6490,http://www.noblemaritime.org/,1000 Richmond Terrace, ,Staten Island,10301
92,40.67299381,-73.98461862,Old Stone House,(718) 768-3195,http://www.theoldstonehouse.org/,326 5th Avenue, ,Brooklyn,11215
93,40.7458398,-73.94621242,P.S. 1 Contemporary Art Center,(718) 784-2084,http://www.ps1.org/,22-25 Jackson Ave., ,Queens,11101
94,40.76057397,-73.97760161,Paley Center For Media (formerly Museum Of Television & Radio),(212) 621-6800,http://www.paleycenter.org/,25 West 52 Street, ,New York,10019
95,40.76460759,-73.89314845,Queens Art Museum - Bulova Corporate Center,(516) 624-1910,http://www.bdg.net/properties/1/,75-20 Astoria Blvd., ,Jackson Heights,11386
96,40.74556994,-73.72573661,Queens County Farm Museum,(718) 347-3276,http://www.queensfarm.org/,73-50 Little Neck Parkway, ,Queens,11004
97,40.7458432,-73.84676276,Queens Museum of Art,(718) 592-9700,http://www.queensmuseum.org/,Queens Museum of Art,Flushing Meadows Corona Park,Queens,11368
98,40.78286017,-73.97257491,Rose Center for Earth and Space (Hayden Planetarium),(212) 769-5100,http://www.haydenplanetarium.org/index.php,15 West 81st Street, ,New York,10024
99,40.76501265,-73.9799105,Rose Museum at Carnegie Hall,(212) 903-9629,http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html,154 West 57th Street, ,New York,0
100,40.74002071,-73.99779153,Rubin Museum of Art,(212) 620-5000,http://www.rmanyc.org/,150 West 17th Street, ,New York,10011
101,40.54097869,-74.21650282,Sandy Ground Historical Society,(718) 317-5796,http://statenislandusa.com/pages/sandy_ground.html,1538 Woodrow Road, ,Staten Island,0
102,40.74944723,-73.98008843,Scandinavia House: The Nordic Center in America,(212) 879-9779,http://www.scandinaviahouse.org/,58 Park Ave., ,New York,10016
103,40.81461306,-73.94099076,Schomburg Center for Research in Black Culture,(212) 491-2200,http://www.nypl.org/research/sc/sc.html,515 Malcolm X Boulevard, ,New York,10037
104,40.73875952,-73.98224232,School of Visual Arts Museum,(212) 592-2145,http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865,209 E. 23rd St., ,New York,10010
105,40.51521468,-74.1975893,Seguine Mansion,(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,440 Seguine Avenue, ,Staten Island,10307
106,40.70565786,-74.01756807,Skyscraper Museum,(212) 968-1961,http://www.skyscraper.org/home.htm,39 Battery Place, ,New York,10280
107,40.78300981,-73.95891102,Solomon R. Guggenheim Museum,(212) 423-3500,http://www.guggenheim.org/,1071 Fifth Avenue, ,New York,10128
108,40.76147063,-73.97350782,Sony Wonder Technology Lab,(212) 833-8100,http://wondertechlab.sony.com/,550 Madison Ave, Sony Plaza,New York,10022
109,40.70660369,-74.00372094,South Street Seaport Museum,(212) 748-8600,http://www.southstreetseaportmuseum.org/,12 Fulton Street, ,New York,10038
110,40.64270922,-74.10189211,Staten Island Children's Museum,(718) 273-2060,http://www.statenislandkids.org/,1000 Richmond Terr., ,Staten Island,10301
111,40.64436951,-74.07766506,Staten Island Museum / Staten Island Institute of Arts & Sciences,(718) 727-1135,http://www.statenislandmuseum.org/,75 Stuyvesant Pl., ,Staten Island,10301
112,40.80824581,-73.94772615,Studio Museum in Harlem,(212) 864-4500,http://www.studiomuseum.org,144 West 125th Street, ,New York,10027
113,40.71868803,-73.98967905,Tenement Museum,(212) 431-0233,http://www.tenement.org/,108 Orchard Street, ,New York,10002
114,40.71961706,-73.98501449,"The Freakatorium, El Museo Loco",(212) 375-0475,http://www.freakatorium.com/,57 Clinton St., ,New York,10002
115,40.80527672,-73.93805874,The Jazz Museum in Harlem,(212) 348-8300,http://www.jazzmuseuminharlem.org/,104 E. 126th Street, Suite 2D,New York,10035
116,40.66891191,-73.94196177,The Jewish Children's Museum,(718) 467-0600,http://www.jcmonline.org/,792 Eastern Pkwy, ,Brooklyn,11213
117,40.74700871,-73.99392967,The Museum at FIT,(212) 217-5800,http://www.fitnyc.edu/306.asp,7th Avenue at West 27th Street, ,New York,10001
118,40.73864235,-73.98904085,Theodore Roosevelt Birthplace,(212) 260-1616,http://www.nps.gov/thrb/index.htm,28 East 20th Street, ,New York,10003
119,40.72767712,-73.98975703,Ukrainian Museum,(212) 228-0110,http://www.ukrainianmuseum.org/,222 East 6th Street, ,New York,10003
120,40.87738016,-73.87942472,Valentine-Varian House,(718) 881-8900,http://www.museumregister.com/US/NewYork/Bronx/ValentineVarianHouse/Info.html,3266 Bainbridge Ave., ,Bronx,10467
121,40.8911115,-73.89482257,Van Cortlandt House Museum,(718) 543-3344,http://www.vancortlandthouse.org/,VAN CRTLANDT MANSION,Broadway at West 246th Street,Bronx,10471
122,40.89788505,-73.91165376,Wave Hill,(718) 549-3200,http://wavehill.org/visit/,West 249th Street & Independence Avenue, ,Bronx,10471
123,40.77340763,-73.96383435,Whitney Museum of American Art,1 (800) WHITNEY,http://www.whitney.org/,945 Madison Ave., ,New York,10021
124,40.64434101,-73.9207963,Wyckoff Farmhouse Museum,(718) 629-5400,http://www.wyckoffassociation.org/,5816 Clarendon Ave, ,Brooklyn,11203
125,40.73802788,-73.99376449,Leo Baeck Institute,(212) 744-6400,http://www.lbi.org/,15 W. 16th St., ,New York,10011
126,40.73807757,-73.9938858,American Sephardi Federation / Sephardic House,(212) 294-8350,http://www.americansephardifederation.org/,15 W. 16th St., ,New York,10011
127,40.73796028,-73.99379427,YIVO Institute for Jewish Research,(212) 246-6860,http://www.yivoinstitute.org/,15 W. 16th St., ,New York,10011
128,40.73801572,-73.9939289,American Jewish Historical Society,(212) 294-6160,http://www.ajhs.org/,15 W. 16th St., ,New York,10011
129,40.73804602,-73.99381737,Yeshiva University Museum,(212) 294-8330,http://www.yumuseum.org/,15 W. 16th St., ,New York,10011
130,40.7379871,-73.99386877,Center For Jewish History,(212) 294-8301,http://www.cjh.org,15 W. 16th St., ,New York,10011
