OBJECTID,Shape,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP
40,"(40.60900900100006, -74.0323107769999)",Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop, ,Brooklyn,11252
41,"(40.83345248000006, -73.94682282199994)",Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street, ,New York,10032
42,"(40.87835819800006, -73.89098784299995)",Holocaust Museum & Studies Center,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St, ,Bronx,10468
43,"(40.67557226800005, -74.01808694199991)",Hudson Waterfront Museum and Showboat Barge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St., ,Brooklyn,11231
44,"(40.756021485000076, -73.98383672499995)",International Center of Photography,(212) 857-0000,http://www.icp.org/,1133 Avenue Of The Americas, ,New York,10036
45,"(40.76478360700008, -74.00089180499992)",Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street, ,New York,10036
46,"(40.76695694500006, -73.93765514499995)",Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard, ,Long Island City,11106
47,"(40.719194962000074, -73.99749410699991)",Italian American Museum,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St., ,New York,10013
48,"(40.72335099600008, -74.00664185499994)",Jackie Robinson Museum,(212) 290-8600,http://www.jackierobinson.org/,1 Hudson Square,75 Varick Street 2nd Floor,New York,10013
49,"(40.57631316900006, -74.1381233649999)",Jacques Marchais Center Museum of Tibetan Art,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue, ,Staten Island,10306
50,"(40.850220369000056, -73.94694494599992)",Jeffrey's Hook lighthouse (Little Red Lighthouse),(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River, ,New York,10033
51,"(40.78540259000005, -73.95718705799993)",Jewish Museum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave, ,New York,10128
52,"(40.75233053000005, -74.00965483699991)",John J. Harvey Fireboat, ,http://www.fireboat.org/,Pier 66 at West 26th Street, ,New York,10001
53,"(40.70304235200007, -73.80376061999993)",King Manor Museum,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue, ,Queens,11432
54,"(40.76359603800006, -73.8241564189999)",Kingsland Homestead,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue, ,Queens,11354
55,"(40.74396040600004, -73.93514567999995)",LaGuardia and Wagner Archives,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,31-10 Thomson Ave.,Fiorello H. LaGuardia Community College/CUNY Room E-238,Queens,11101
56,"(40.74719742800005, -73.98618832999995)",Lee Young Hee Museum of Korean Culture,(212) 560-0722,http://www.lyhkm.org/,2 West 32nd Street, Suite 301,New York,10001
57,"(40.664380289000064, -73.96381415999991)",Lefferts Historic House,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,Prospect Park Willink Entrance,Flatbush and Ocean Avenues and Empire Boulevard,Brooklyn,11215
58,"(40.75631849600006, -73.9887022609999)",Madame Tussauds Wax Museum,(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street, ,New York,10036
59,"(40.72765775100004, -73.99234604799994)",Merchant's House Museum,(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street, ,New York,10003
60,"(40.77942387500008, -73.96345111099993)",Metropolitan Museum of Art (MET),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue, ,New York,10028
61,"(40.750784700000054, -73.97988117799991)",Mexican Cultural Institute of New York,(212) 217-6422,http://www.lavitrina.com/,27 E. 39th St., ,New York,10016
62,"(40.749295405000055, -73.98132148499991)",Morgan Library and Museum,(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue, ,New York,10016
63,"(40.83444801300004, -73.93857438799995)",Morris-Jumel Mansion,(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace, ,New York,10032
64,"(40.76052611800009, -73.9597108289999)",Mount Vernon Hotel Museum & Garden,(212) 838-6878,http://www.mvhm.org/,421 East 61 Street, ,New York,10021
65,"(40.758248639000044, -73.97499986999992)",Municipal Art Society,(212) 935-3960,http://mas.org/,457 Madison Avenue, ,New York,10022
66,"(40.74634207200006, -73.92822391099992)",Museum for African Art,(718) 784-7700,http://www.africanart.org/,36-01 43rd Avenue, 3rd Floor,Queens,11101
67,"(40.70648492200007, -74.0091216049999)",Museum of American Finance,(212) 908-4110,http://www.moaf.org/index,48 Wall Street, ,New York,10005
68,"(40.76471595500004, -73.96690030999991)",Museum of American Illustration,(212) 838-2560,http://societyillustrators.org/museum/index.cms,128 E. 63d St., ,New York,10021
69,"(40.76740640700007, -73.98200725099991)",Museum of Arts & Design (MAD),(212) 299-7777,http://www.madmuseum.org/,2 Columbus Circle, ,New York,10019
70,"(40.77025274400006, -73.98272584199992)",Museum of Biblical Art,(212) 408-1200,http://www.mobia.org/,1865 Broadway, ,New York,10023
71,"(40.71945427900005, -73.99919191799995)",Museum Of Chinese In America,(212) 619-4785,http://www.mocanyc.org/,215 Centre Street, ,New York,10013
72,"(40.72479828000007, -73.99670247699993)",Museum of Comic and Cartoon Art (MoCCA),(212) 254 3511,http://www.moccany.org/,594 Broadway, Suite 401,New York,10012
73,"(40.68524547700008, -73.97442477599992)",Museum of Contemporary African Diasporan Arts (MoCADA),(718) 230-0492,http://www.mocada.org/,80 Hanson Place, ,Brooklyn,11217
74,"(40.70598698100008, -74.01858571699995)",Museum of Jewish Heritage,(646) 437-4200,http://www.mjhnyc.org/index.htm,36 Battery Place, ,New York,10280
75,"(40.761186974000054, -73.97700363099995)",Museum of Modern Art (MoMA),(212) 708-9400,http://www.moma.org/,11 West 53rd Street, ,New York,10019
76,"(40.79250936800008, -73.95191697399991)",Museum of the City of New York,(212) 534-1672,http://www.mcny.org,1220 Fifth Avenue, ,New York,10029
77,"(40.75694482100005, -73.92451017299993)",Museum of the Moving Image,(718) 784-4520,http://www.movingimage.us/site/site.php,35 Avenue at 36 Street, ,Queens,11106
78,"(40.78361350100005, -73.95849177299993)",National Academy Museum,(212) 369-4880,https://nationalacademy.org/index.asp,1083 5th Avenue, ,New York,10128
79,"(40.640949350000085, -74.07373712999993)",National Lighthouse Museum,(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,1 Lighthouse Plaza, ,Staten Island,10301
80,"(40.70432159000006, -74.01372704599993)",National Museum of the American Indian,(212) 514-3700,http://www.nmai.si.edu/,1 Bowling Green, ,New York,10004
81,"(40.70965482100007, -74.0109156609999)",National September 11 Memorial & Museum at the World Trade Center,(212) 227-7722,http://www.national911memorial.org/site/PageServer?pagename=New_Home,1 Liberty Plaza, 20th Floor,New York,10006
82,"(40.78124266800006, -73.96024812499991)",Neue Galerie New York,(212) 628-6200,http://www.neuegalerie.org/,1048 Fifth Avenue, ,New York,10028
83,"(40.72234703500004, -73.99283879199993)",New Museum of Contemporary Art,(212) 219-1222,http://www.newmuseum.org/,235 Bowery, ,New York,10002
84,"(40.725572139000064, -74.00693426099991)",New York City Fire Museum,(212) 691-1303,http://www.nycfiremuseum.org/,278 Spring Street, ,New York,10012
85,"(40.70347862400007, -74.00811754499995)",New York City Police Museum,(212) 480-3100,http://www.nycpolicemuseum.org/,100 Old Slip, ,New York,10038
86,"(40.74714812000008, -73.85168679599991)",New York Hall of Science,(718) 699-0005,http://www.nysci.org/,47-01 111th Street, ,Queens,11368
87,"(40.77927357500005, -73.9742575379999)",New York Historical Society,(212) 873-3400,https://www.nyhistory.org/web/,2 West 77th Street, ,New York,10024
88,"(40.752423254000064, -73.97912411199991)",New York Tolerance Center,(212) 697-1180,http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506,50 E 42nd St, ,New York,10017
89,"(40.69052403100005, -73.99002597099991)",New York Transit Museum,(718) 694-4915,http://www.mta.info/mta/museum/,Boerum Pl. & Schermenhorn Street, ,Brooklyn,0
90,"(40.80291433300005, -73.96902249699991)",Nicholas Roerich Museum,(212) 864-7752,http://www.roerich.org/,319 West 107 Street, ,New York,10025
91,"(40.64431227700004, -74.10177203799992)",Noble Maritime Collection,(718) 447-6490,http://www.noblemaritime.org/,1000 Richmond Terrace, ,Staten Island,10301
92,"(40.67299380600008, -73.98461861599992)",Old Stone House,(718) 768-3195,http://www.theoldstonehouse.org/,326 5th Avenue, ,Brooklyn,11215
93,"(40.74583980300008, -73.9462124179999)",P.S. 1 Contemporary Art Center,(718) 784-2084,http://www.ps1.org/,22-25 Jackson Ave., ,Queens,11101
94,"(40.76057397200009, -73.97760161399992)",Paley Center For Media (formerly Museum Of Television & Radio),(212) 621-6800,http://www.paleycenter.org/,25 West 52 Street, ,New York,10019
95,"(40.764607589000036, -73.89314845399991)",Queens Art Museum - Bulova Corporate Center,(516) 624-1910,http://www.bdg.net/properties/1/,75-20 Astoria Blvd., ,Jackson Heights,11386
96,"(40.745569938000074, -73.72573660699993)",Queens County Farm Museum,(718) 347-3276,http://www.queensfarm.org/,73-50 Little Neck Parkway, ,Queens,11004
97,"(40.745843198000046, -73.84676275899994)",Queens Museum of Art,(718) 592-9700,http://www.queensmuseum.org/,Queens Museum of Art,Flushing Meadows Corona Park,Queens,11368
98,"(40.782860166000034, -73.97257491099992)",Rose Center for Earth and Space (Hayden Planetarium),(212) 769-5100,http://www.haydenplanetarium.org/index.php,15 West 81st Street, ,New York,10024
99,"(40.76501264700005, -73.97991050299993)",Rose Museum at Carnegie Hall,(212) 903-9629,http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html,154 West 57th Street, ,New York,0
100,"(40.740020713000035, -73.9977915259999)",Rubin Museum of Art,(212) 620-5000,http://www.rmanyc.org/,150 West 17th Street, ,New York,10011
101,"(40.54097868800005, -74.21650282099995)",Sandy Ground Historical Society,(718) 317-5796,http://statenislandusa.com/pages/sandy_ground.html,1538 Woodrow Road, ,Staten Island,0
102,"(40.749447229000054, -73.98008843499991)",Scandinavia House: The Nordic Center in America,(212) 879-9779,http://www.scandinaviahouse.org/,58 Park Ave., ,New York,10016
103,"(40.81461305900007, -73.94099075999992)",Schomburg Center for Research in Black Culture,(212) 491-2200,http://www.nypl.org/research/sc/sc.html,515 Malcolm X Boulevard, ,New York,10037
104,"(40.738759524000045, -73.9822423249999)",School of Visual Arts Museum,(212) 592-2145,http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865,209 E. 23rd St., ,New York,10010
105,"(40.515214677000074, -74.1975892989999)",Seguine Mansion,(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,440 Seguine Avenue, ,Staten Island,10307
106,"(40.705657864000045, -74.01756806799995)",Skyscraper Museum,(212) 968-1961,http://www.skyscraper.org/home.htm,39 Battery Place, ,New York,10280
107,"(40.78300980900008, -73.9589110199999)",Solomon R. Guggenheim Museum,(212) 423-3500,http://www.guggenheim.org/,1071 Fifth Avenue, ,New York,10128
108,"(40.761470634000034, -73.97350782099994)",Sony Wonder Technology Lab,(212) 833-8100,http://wondertechlab.sony.com/,550 Madison Ave, Sony Plaza,New York,10022
109,"(40.706603691000055, -74.00372094099993)",South Street Seaport Museum,(212) 748-8600,http://www.southstreetseaportmuseum.org/,12 Fulton Street, ,New York,10038
110,"(40.64270921600007, -74.10189210599992)",Staten Island Children's Museum,(718) 273-2060,http://www.statenislandkids.org/,1000 Richmond Terr., ,Staten Island,10301
111,"(40.644369511000036, -74.07766506399992)",Staten Island Museum / Staten Island Institute of Arts & Sciences,(718) 727-1135,http://www.statenislandmuseum.org/,75 Stuyvesant Pl., ,Staten Island,10301
112,"(40.808245809000084, -73.94772615399995)",Studio Museum in Harlem,(212) 864-4500,http://www.studiomuseum.org,144 West 125th Street, ,New York,10027
113,"(40.718688031000056, -73.98967904799991)",Tenement Museum,(212) 431-0233,http://www.tenement.org/,108 Orchard Street, ,New York,10002
114,"(40.719617061000065, -73.98501448899992)","The Freakatorium, El Museo Loco",(212) 375-0475,http://www.freakatorium.com/,57 Clinton St., ,New York,10002
115,"(40.80527671800007, -73.9380587409999)",The Jazz Museum in Harlem,(212) 348-8300,http://www.jazzmuseuminharlem.org/,104 E. 126th Street, Suite 2D,New York,10035
116,"(40.668911911000066, -73.94196176999992)",The Jewish Children's Museum,(718) 467-0600,http://www.jcmonline.org/,792 Eastern Pkwy, ,Brooklyn,11213
117,"(40.74700870800007, -73.99392966799991)",The Museum at FIT,(212) 217-5800,http://www.fitnyc.edu/306.asp,7th Avenue at West 27th Street, ,New York,10001
118,"(40.73864234900009, -73.9890408519999)",Theodore Roosevelt Birthplace,(212) 260-1616,http://www.nps.gov/thrb/index.htm,28 East 20th Street, ,New York,10003
119,"(40.727677121000056, -73.9897570309999)",Ukrainian Museum,(212) 228-0110,http://www.ukrainianmuseum.org/,222 East 6th Street, ,New York,10003
120,"(40.87738015800005, -73.87942471799994)",Valentine-Varian House,(718) 881-8900,http://www.museumregister.com/US/NewYork/Bronx/ValentineVarianHouse/Info.html,3266 Bainbridge Ave., ,Bronx,10467
121,"(40.89111150100007, -73.89482256999992)",Van Cortlandt House Museum,(718) 543-3344,http://www.vancortlandthouse.org/,VAN CRTLANDT MANSION,Broadway at West 246th Street,Bronx,10471
122,"(40.897885048000035, -73.91165376499993)",Wave Hill,(718) 549-3200,http://wavehill.org/visit/,West 249th Street & Independence Avenue, ,Bronx,10471
123,"(40.77340762700004, -73.96383434599994)",Whitney Museum of American Art,1 (800) WHITNEY,http://www.whitney.org/,945 Madison Ave., ,New York,10021
124,"(40.64434101400008, -73.9207962989999)",Wyckoff Farmhouse Museum,(718) 629-5400,http://www.wyckoffassociation.org/,5816 Clarendon Ave, ,Brooklyn,11203
125,"(40.73802787500006, -73.99376449399995)",Leo Baeck Institute,(212) 744-6400,http://www.lbi.org/,15 W. 16th St., ,New York,10011
126,"(40.73807756700006, -73.9938857969999)",American Sephardi Federation / Sephardic House,(212) 294-8350,http://www.americansephardifederation.org/,15 W. 16th St., ,New York,10011
127,"(40.73796028000004, -73.9937942709999)",YIVO Institute for Jewish Research,(212) 246-6860,http://www.yivoinstitute.org/,15 W. 16th St., ,New York,10011
128,"(40.73801571700005, -73.9939289049999)",American Jewish Historical Society,(212) 294-6160,http://www.ajhs.org/,15 W. 16th St., ,New York,10011
129,"(40.738046017000045, -73.99381736999993)",Yeshiva University Museum,(212) 294-8330,http://www.yumuseum.org/,15 W. 16th St., ,New York,10011
130,"(40.737987098000076, -73.99386877199993)",Center For Jewish History,(212) 294-8301,http://www.cjh.org,15 W. 16th St., ,New York,10011
